,mean
D4_55,8.981071284736207e-07
D4_56,4.873137333870318e-07
D4_57,1.7720499395892066e-07
D4_58,1.369311316955296e-07
D4_59,2.3358840112766815e-07
D4_60,4.7120418848167543e-07
D4_61,1.0390656463954892e-06
D4_62,8.699154248892469e-07
D4_63,9.383809907370117e-07
D4_64,8.256141763995168e-07
D4_65,2.8594442207007655e-07
D4_66,8.054772452678212e-08
D4_67,0.0
D4_68,0.0
D4_69,0.0
D4_70,0.0
D4_71,0.0
D4_72,0.0
D4_73,0.0
D4_74,0.0
D4_75,0.0
D4_76,0.0
D4_77,0.0
D4_78,0.0
D4_79,0.0
D4_80,0.0
